,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name,print_section,print_page
0,"Joseph Segel, a “quintessential entrepreneur” who founded the home-shopping network QVC, has died, the company that owns the channel announced. He was 88.",https://www.nytimes.com/aponline/2019/12/22/business/bc-us-obit-joseph-segel.html,"Joseph Segel, a “quintessential entrepreneur” who founded the home-shopping network QVC, has died, the company that owns the channel announced. He was 88.","Joseph Segel, a “quintessential entrepreneur” who founded the home-shopping network QVC, has died, the company that owns the channel announced. He was 88.",AP,[],[],2019-12-23T03:42:27+0000,article,None,Business Day,News,nyt://article/72d1f162-b768-59a5-bec1-a280b4a9cf7e,191,nyt://article/72d1f162-b768-59a5-bec1-a280b4a9cf7e,"Joseph Segel, QVC and Franklin Mint Founder, Dead at 88",,,"Joseph Segel, QVC and Franklin Mint Founder, Dead at 88",,,,By The Associated Press,[],The Associated Press,,,
1,Rookie Otago Highlanders lock Manaaki Selby-Rickit has been suspended for four weeks by New Zealand Rugby after he was convicted last month for an incident that left another man with a broken jaw.,https://www.nytimes.com/reuters/2019/12/22/sports/rugby/22reuters-rugby-union-super-highlanders.html,Rookie Otago Highlanders lock Manaaki Selby-Rickit has been suspended for four weeks by New Zealand Rugby after he was convicted last month for an incident that left another man with a broken jaw.,WELLINGTON — Rookie Otago Highlanders lock Manaaki Selby-Rickit has been suspended for four weeks by New Zealand Rugby after he was convicted last month for an incident that left another man with a broken jaw.,Reuters,[],[],2019-12-23T03:36:28+0000,article,None,Sports,News,nyt://article/ccfe6d21-89c6-5071-a545-60a5d022af98,301,nyt://article/ccfe6d21-89c6-5071-a545-60a5d022af98,Rookie Highlanders Lock Suspended After Assault Conviction,,,Rookie Highlanders Lock Suspended After Assault Conviction,,,,By Reuters,[],Reuters,Rugby,,
2,"Quotation of the Day for Monday, December 23, 2019.",https://www.nytimes.com/2019/12/22/todayspaper/quotation-of-the-day-with-no-principals-or-parents-vaping-surges-on-campus.html,"Quotation of the Day for Monday, December 23, 2019.",“It’s not what it’s doing to your lungs. It’s what it’s doing to your head. That’s the most difficult thing to quit.”,The New York Times,[],[],2019-12-23T03:32:17+0000,article,Summary,Today’s Paper,Quote,nyt://article/cda1c840-e887-5846-bae5-eb70eeb3fdbe,35,nyt://article/cda1c840-e887-5846-bae5-eb70eeb3fdbe,"Quotation of the Day: With No Principals or Parents, Vaping Surges on Campus",,,Quote of the Day,,,,,[],,,A,3
3,"At least 16 prisoners died during fighting inside a juvenile detention center in Honduras on Sunday, two days after rioting at another prison killed 18 inmates, authorities said.",https://www.nytimes.com/aponline/2019/12/22/world/americas/ap-lt-honduras-prison-violence.html,"At least 16 prisoners died during fighting inside a juvenile detention center in Honduras on Sunday, two days after rioting at another prison killed 18 inmates, authorities said.","TEGUCIGALPA, Honduras — At least 16 prisoners died during fighting inside a juvenile detention center in Honduras on Sunday, two days after rioting at another prison killed 18 inmates, authorities said.",AP,[],[],2019-12-23T03:27:29+0000,article,None,World,News,nyt://article/539fd109-1aba-5391-8d44-5f51a7a6ed5f,277,nyt://article/539fd109-1aba-5391-8d44-5f51a7a6ed5f,16 Inmates Killed in Latest Prison Outburst in Honduras,,,16 Inmates Killed in Latest Prison Outburst in Honduras,,,,By The Associated Press,[],The Associated Press,Americas,,
4,"Australia's embattled Prime Minister defended his government’s climate policy Monday, as authorities warned the wildfires crisis ravaging the country's most populous state could fester for months. ",https://www.nytimes.com/aponline/2019/12/22/world/asia/ap-as-australia-wildfires.html,"Australia's embattled Prime Minister defended his government’s climate policy Monday, as authorities warned the wildfires crisis ravaging the country's most populous state could fester for months. ","PERTH, Australia — Australia's embattled Prime Minister defended his government’s climate policy Monday, as authorities warned the wildfires crisis ravaging the country's most populous state could fester for months. ",AP,[],[],2019-12-23T03:27:27+0000,article,None,World,News,nyt://article/06ba6a05-1bdf-5543-82ac-ed9ee0b53052,429,nyt://article/06ba6a05-1bdf-5543-82ac-ed9ee0b53052,Australia's PM Defends Climate Stance Amid Wildfire Disaster,,,Australia's PM Defends Climate Stance Amid Wildfire Disaster,,,,By The Associated Press,[],The Associated Press,Asia Pacific,,
5,"Jerry Jones could barely stomach the final ticks of the clock, leaving his luxury box as Dallas' shot at winning the NFC East ended on an incomplete pass in the end zone. Jones, testy of late as the season slips away, had little to say in an abbreviated session with reporters that didn't help with reading the tea leaves.",https://www.nytimes.com/aponline/2019/12/22/sports/football/ap-fbn-cowboys-blown-chance-1st-ld-writethru.html,"Jerry Jones could barely stomach the final ticks of the clock, leaving his luxury box as Dallas' shot at winning the NFC East ended on an incomplete pass in the end zone. Jones, testy of late as the season slips away, had little to say in an abbre...","PHILADELPHIA — Jerry Jones could barely stomach the final ticks of the clock, leaving his luxury box as Dallas' shot at winning the NFC East ended on an incomplete pass in the end zone. Jones, testy of late as the season slips away, had little to say in an abbreviated session with reporters that didn't help with reading the tea leaves.",AP,[],[],2019-12-23T03:24:28+0000,article,None,Sports,News,nyt://article/ddd2f118-9c70-5a53-ab18-2aa675542d62,627,nyt://article/ddd2f118-9c70-5a53-ab18-2aa675542d62,Cowboys Blow Chance to Win NFC East in 17-9 Loss to Eagles,,,Cowboys Blow Chance to Win NFC East in 17-9 Loss to Eagles,,,,By The Associated Press,[],The Associated Press,Pro Football,,
6,"Stocks edged higher on Wall Street in early trading Monday, extending the major indexes' record-setting run at the start of a shortened holiday week.",https://www.nytimes.com/aponline/2019/12/22/business/ap-financial-markets.html,"Stocks edged higher on Wall Street in early trading Monday, extending the major indexes' record-setting run at the start of a shortened holiday week.","Stocks edged higher on Wall Street in early trading Monday, extending the major indexes' record-setting run at the start of a shortened holiday week.",AP,[],[],2019-12-23T03:24:27+0000,article,None,Business Day,News,nyt://article/aafa4d54-efbb-5448-81c9-5263cfd8e1c7,433,nyt://article/aafa4d54-efbb-5448-81c9-5263cfd8e1c7,Wall Street Edges Higher in Quiet Pre-Christmas Trading,,,Wall Street Edges Higher in Quiet Pre-Christmas Trading,,,,By The Associated Press,[],The Associated Press,,,
7,"China's pork imports in November surged more than 150% from a year ago to 229,707 tonnes, the highest since at least 2016, as the world's top consumer of the meat faces a severe domestic supply shortage after disease decimated its hog herd.",https://www.nytimes.com/reuters/2019/12/22/business/22reuters-china-economy-trade-pork.html,"China's pork imports in November surged more than 150% from a year ago to 229,707 tonnes, the highest since at least 2016, as the world's top consumer of the meat faces a severe domestic supply shortage after disease decimated its hog herd.","BEIJING — China's pork imports in November surged more than 150% from a year ago to 229,707 tonnes, the highest since at least 2016, as the world's top consumer of the meat faces a severe domestic supply shortage after disease decimated its hog herd.",Reuters,[],[],2019-12-23T03:21:28+0000,article,None,Business Day,News,nyt://article/1e846cea-2a9d-59dd-be59-014a7ae6e1f8,273,nyt://article/1e846cea-2a9d-59dd-be59-014a7ae6e1f8,China's November Pork Imports Surge 150% on Year Ago After Pig Disease,,,China's November Pork Imports Surge 150% on Year Ago After Pig Disease,,,,By Reuters,[],Reuters,,,
8,"At least 16 Honduran inmates were killed during a fight between armed gangs of prisoners on Sunday, officials said, the second outbreak of violence to hit Honduras' beleaguered jails in the past few days.",https://www.nytimes.com/reuters/2019/12/22/world/americas/22reuters-honduras-violence.html,"At least 16 Honduran inmates were killed during a fight between armed gangs of prisoners on Sunday, officials said, the second outbreak of violence to hit Honduras' beleaguered jails in the past few days.","TEGUCIGALPA — At least 16 Honduran inmates were killed during a fight between armed gangs of prisoners on Sunday, officials said, the second outbreak of violence to hit Honduras' beleaguered jails in the past few days.",Reuters,[],[],2019-12-23T03:12:33+0000,article,None,World,News,nyt://article/432a10c4-6ec1-5655-a0ff-d4ce81d426e1,206,nyt://article/432a10c4-6ec1-5655-a0ff-d4ce81d426e1,Sixteen Inmates Killed in Latest Bout of Prison Mayhem in Honduras,,,Sixteen Inmates Killed in Latest Bout of Prison Mayhem in Honduras,,,,By Reuters,[],Reuters,Americas,,
9,"Manchester United midfielder Paul Pogba's return from injury was the only positive from Sunday's 2-0 Premier League defeat at bottom-placed Watford, manager Ole Gunnar Solskjaer said.",https://www.nytimes.com/reuters/2019/12/22/sports/soccer/22reuters-soccer-england-wat-mun.html,"Manchester United midfielder Paul Pogba's return from injury was the only positive from Sunday's 2-0 Premier League defeat at bottom-placed Watford, manager Ole Gunnar Solskjaer said.","(Reuters) - Manchester United midfielder Paul Pogba's return from injury was the only positive from Sunday's 2-0 Premier League defeat at bottom-placed Watford, manager Ole Gunnar Solskjaer said.",Reuters,[],[],2019-12-23T03:12:31+0000,article,None,Sports,News,nyt://article/e8809cba-fb91-5c10-97af-d6804dbc8451,262,nyt://article/e8809cba-fb91-5c10-97af-d6804dbc8451,Pogba's Return to Man United Side Only Positive From Watford Loss-Solskjaer,,,Pogba's Return to Man United Side Only Positive From Watford Loss-Solskjaer,,,,By Reuters,[],Reuters,Soccer,,
